Provider,Specialty,City,State,Payments
"RAMATOWSKI, CAROL J",Family Practice,ARVADA,CO,"$12,095.50"
"KINZLER, DALE",Otolaryngology,ARVADA,CO,"$12,025.29"
"BECKER, ANDREA",Physical Therapist,ARVADA,CO,"$10,595.11"
"ROOPE, RICKY A",Chiropractic,ARVADA,CO,"$10,572.64"
"LONG, LORI",Family Practice,ARVADA,CO,"$10,168.47"
"STONE, DIANNE C",Gynecological/Oncology,ARVADA,CO,"$9,557.65"
"VANBLERKOM, CATHY J",Pathology,ARVADA,CO,"$9,529.85"
DILLON COMPANIES INC,Mass Immunization Roster Biller,ARVADA,CO,"$9,008.38"
"ISRAELSKI, KERI A",Clinical Psychologist,ARVADA,CO,"$8,566.87"
WALGREEN CO,Mass Immunization Roster Biller,ARVADA,CO,"$7,832.03"
"SUJDAK, LENNY",Family Practice,ARVADA,CO,"$7,141.59"
"TWEED, GRETCHEN",Physician Assistant,ARVADA,CO,"$6,858.53"
"YAMAMOTO, DAVID W",Family Practice,ARVADA,CO,"$6,829.57"
SAFEWAY INC,Mass Immunization Roster Biller,ARVADA,CO,"$6,546.52"
DILLON COMPANIES INC,Mass Immunization Roster Biller,ARVADA,CO,"$6,414.69"
"VERMILYEN, JOHN K",Nurse Practitioner,ARVADA,CO,"$6,110.95"
SAFEWAY INC,Mass Immunization Roster Biller,ARVADA,CO,"$5,874.05"
"MORGAN, TIMOTHY W",Pathology,ARVADA,CO,"$5,824.00"
"CHAPMAN, JEFF L",Optometry,ARVADA,CO,"$5,491.78"
"HINESER, WILLIAM F",Podiatry,ARVADA,CO,"$5,185.80"
WALGREEN CO,Mass Immunization Roster Biller,ARVADA,CO,"$5,109.09"
WALGREEN CO,Mass Immunization Roster Biller,ARVADA,CO,"$5,023.33"
"DELVECCHIO, NICK A",Chiropractic,ARVADA,CO,"$4,575.31"
DILLON COMPANIES INC,Mass Immunization Roster Biller,ARVADA,CO,"$4,552.69"
"DORAN, JAMES A",Chiropractic,ARVADA,CO,"$4,337.73"
DILLON COMPANIES INC,Mass Immunization Roster Biller,ARVADA,CO,"$3,818.69"
"BRENNER, ANNE H",Pathology,ARVADA,CO,"$3,750.73"
"CRAWFORD, GAYLE P",Obstetrics/Gynecology,ARVADA,CO,"$3,599.05"
"O'CONNOR, TARA G",Nurse Practitioner,ARVADA,CO,"$3,584.51"
"SHELLHAAS, MICHELLE L",Physical Therapist,ARVADA,CO,"$3,262.19"
WALGREEN CO,Mass Immunization Roster Biller,ARVADA,CO,"$3,163.56"
"BROWN, KELLY B",Optometry,ARVADA,CO,"$3,091.20"
DILLON COMPANIES INC,Mass Immunization Roster Biller,ARVADA,CO,"$2,872.07"
WALGREEN CO,Mass Immunization Roster Biller,ARVADA,CO,"$2,837.61"
"COWLES, CHERYL B",Obstetrics/Gynecology,ARVADA,CO,"$2,787.26"
"HEINIG, DONALD W",Pathology,ARVADA,CO,"$2,688.61"
SAFEWAY INC,Mass Immunization Roster Biller,ARVADA,CO,"$2,421.94"
"KOLRUD, BONITA L",Obstetrics/Gynecology,ARVADA,CO,"$2,323.29"
"GOTTSCHE, BENJAMIN J",Chiropractic,ARVADA,CO,"$2,251.39"
"HONERT, JEFFERY C",Chiropractic,ARVADA,CO,"$2,145.50"
"BURLESON, CARRIE M",Optometry,ARVADA,CO,"$2,135.83"
DILLON COMPANIES INC,Mass Immunization Roster Biller,ARVADA,CO,"$1,794.00"
"SPEARS, GARY E",Chiropractic,ARVADA,CO,"$1,745.30"
"FAIRBAIRN, DOUGLAS A",Family Practice,ARVADA,CO,"$1,638.45"
TARGET CORPORATION AND SUBSIDIARIES,Mass Immunization Roster Biller,ARVADA,CO,"$1,219.60"
"WELLING, ANDREW",Chiropractic,ARVADA,CO,"$1,162.98"
"TARKANIAN, MALCOLM A",Ophthalmology,ARVADA,CO,"$1,148.19"
COSTCO WHOLESALE CORPORATION,Mass Immunization Roster Biller,ARVADA,CO,"$1,121.28"
"SWEENEY, TOD",Family Practice,ARVADA,CO,$989.00
"STILL, GREGORY P",Podiatry,ARVADA,CO,$899.68
"MILLER, JENNIE L",Physician Assistant,ARVADA,CO,$872.85
"SAUNDERS, DANIEL T",Obstetrics/Gynecology,ARVADA,CO,$824.82
"MINTON, DOUGLAS G",Obstetrics/Gynecology,ARVADA,CO,$787.22
"ABERT, BRIAN C",Optometry,ARVADA,CO,$667.06
K MART CORP,Mass Immunization Roster Biller,ARVADA,CO,$658.28
"SHAUGHNESSY, HEATHER N",Physical Therapist,ARVADA,CO,$546.07
"RURAL/METRO OF CENTRAL COLORADO, INC.",Ambulance Service Supplier,AURORA,CO,"$4,346,311.67"
UNIVERSITY PHYSICIANS INCORPORATED,Clinical Laboratory,AURORA,CO,"$2,036,958.48"
MITOMICS (USA) INC.,Clinical Laboratory,AURORA,CO,"$986,364.71"
"SWANSON, MARVIN L",Obstetrics/Gynecology,AURORA,CO,"$845,150.64"
"CAPITAL CITY AMBULANCE, LLC",Ambulance Service Supplier,AURORA,CO,"$735,453.75"
"DANIEL, WILLIAM E",Radiation Oncology,AURORA,CO,"$726,859.84"
"ELDRIDGE, JOAN E",Cardiology,AURORA,CO,"$696,290.50"
"BURKE, JOHN M",Hematology/Oncology,AURORA,CO,"$691,034.58"
"CARTER, DENNIS L",Radiation Oncology,AURORA,CO,"$671,826.64"
"CHAPMAN, JAMES T",Dermatology,AURORA,CO,"$537,951.15"
"DIAB, SAMI",Hematology/Oncology,AURORA,CO,"$510,288.71"
"NALLAPAREDDY, SUJATHA",Hematology/Oncology,AURORA,CO,"$487,619.49"
"LUCAS, LOUIS W",Diagnostic Radiology,AURORA,CO,"$481,069.36"
"OLIVER, SCOTT",Ophthalmology,AURORA,CO,"$459,292.55"
"WAINTRUB, MAURICIO L",Internal Medicine,AURORA,CO,"$449,456.12"
YEN LABORATORIES INC.,Slide Preparation Facility,AURORA,CO,"$435,850.92"
"AMSBAUGH, SEAN T",Dermatology,AURORA,CO,"$407,362.04"
"NEID, JAMES M",Infectious Disease,AURORA,CO,"$404,590.08"
"CHER, LLC",Independent Diagnostic Testing Facility,AURORA,CO,"$396,196.94"
"PATEL, CHIRAG",Ophthalmology,AURORA,CO,"$344,973.57"
"JOHNSON, DARLENE S",Dermatology,AURORA,CO,"$337,837.10"
"MELLETTE, JULIAN R",Dermatology,AURORA,CO,"$332,572.43"
"KRUTSCH, JASON",Anesthesiology,AURORA,CO,"$321,813.27"
"PRAGER, NELSON A",Cardiology,AURORA,CO,"$319,650.98"
"SHIELDS, ROBERT L",Ophthalmology,AURORA,CO,"$317,506.23"
"ONUOHA, FRANCISCA I",Internal Medicine,AURORA,CO,"$305,747.23"
"ALYASEEN, SAMER",Infectious Disease,AURORA,CO,"$303,100.44"
"FARAGHER, DAVID C",Hematology/Oncology,AURORA,CO,"$299,058.13"
"MAINO, KIMBERLY",Dermatology,AURORA,CO,"$297,027.76"
"KESSELMAN, STEPHEN E",Ophthalmology,AURORA,CO,"$296,188.82"
"GOLITZ, LOREN",Dermatology,AURORA,CO,"$293,008.85"
"JIWANI, SHABANA",Internal Medicine,AURORA,CO,"$270,429.31"
"AYYAR, SANDHYA C",Infectious Disease,AURORA,CO,"$269,392.60"
"MOLK, BARRY L",Cardiology,AURORA,CO,"$264,953.38"
"TARAVELLA, MICHAEL",Ophthalmology,AURORA,CO,"$260,772.73"
"FUENZALIDA, CHARLES E",Cardiology,AURORA,CO,"$259,680.17"
"PEACOCK, JOEL H",Geriatric Medicine,AURORA,CO,"$252,979.33"
"MIZUNO, PHILIP B",Nurse Practitioner,AURORA,CO,"$243,909.21"
"NIRANJAN, BOOKANAKERE",Geriatric Medicine,AURORA,CO,"$235,477.29"
"SPIEGEL, DAVID",Nephrology,AURORA,CO,"$235,027.28"
"CROWLEY, STEPHEN T",Cardiology,AURORA,CO,"$219,939.68"
"PANTCHEVA, MINA",Ophthalmology,AURORA,CO,"$216,015.39"
"KATTA, SUSHANTHI",Internal Medicine,AURORA,CO,"$211,955.37"
"KANG, CHANG W",Internal Medicine,AURORA,CO,"$210,829.01"
"ABUABA, ROMANO N",Internal Medicine,AURORA,CO,"$210,035.59"
"DAVIDSON, RICHARD",Ophthalmology,AURORA,CO,"$209,926.60"
"DIBELLA, NICHOLAS J",Hematology/Oncology,AURORA,CO,"$209,225.18"
"GRUEN, MELISSA B",Family Practice,AURORA,CO,"$205,383.15"
"ORD, JOHN M",Cardiology,AURORA,CO,"$201,616.68"
"BHATTARAI, NIMESH",Internal Medicine,AURORA,CO,"$200,974.00"
"HIRSCH, CECILIA M",Cardiology,AURORA,CO,"$196,425.02"
"MILLER, FREDERICK C",Cardiology,AURORA,CO,"$193,365.12"
"PREVEDEL, JOHN A",Cardiology,AURORA,CO,"$190,778.15"
"FINEMAN, BRUCE G",Internal Medicine,AURORA,CO,"$190,518.77"
"WATSON, CLAY C",Infectious Disease,AURORA,CO,"$190,028.78"
"WEAVER, MICHELLE L",Nurse Practitioner,AURORA,CO,"$187,756.71"
"COHEN, ANDREW I",Cardiology,AURORA,CO,"$186,585.83"
"GREENBERG, JERRY H",Internal Medicine,AURORA,CO,"$185,400.16"
"MOON, JAE JOON",Physical Therapist,AURORA,CO,"$183,837.38"
"KROLL, JING L",Infectious Disease,AURORA,CO,"$183,085.34"
"NAWAZ, DILSHER M",Cardiology,AURORA,CO,"$175,531.19"
"NEILL, TRAVIS J",Physician Assistant,AURORA,CO,"$170,990.52"
"PAPADEAS, GREGORY G",Dermatology,AURORA,CO,"$170,476.78"
"STOLCIS, KATHERINE M",Physician Assistant,AURORA,CO,"$169,927.43"
"PAUCKOVA, JARMILA",Internal Medicine,AURORA,CO,"$168,300.81"
"PROPP, JOHN G",Cardiac Surgery,AURORA,CO,"$167,826.75"
"VIJAY, NAMPALLI K",Cardiology,AURORA,CO,"$166,920.97"
"JANTZ, RICHARD D",Cardiology,AURORA,CO,"$166,849.13"
"WAHL, MICHAEL R",Cardiology,AURORA,CO,"$164,678.78"
"FRANTZ, SHIRLEY J",Internal Medicine,AURORA,CO,"$164,459.59"
"MANDAVA, NARESH",Ophthalmology,AURORA,CO,"$162,730.84"
"RAINWATER, JOSEPH O",Cardiology,AURORA,CO,"$162,656.76"
"WELCH, ERIN",Dermatology,AURORA,CO,"$160,381.00"
"KAN DI KI, LLC",Portable X-ray,AURORA,CO,"$155,204.93"
"BURCHAM, JAMES R",Ophthalmology,AURORA,CO,"$155,040.65"
"SAKIEWICZ, PAUL G",Nephrology,AURORA,CO,"$154,462.91"
"KAHOOK, MALIK",Ophthalmology,AURORA,CO,"$152,760.92"
"WHITE, CYNTHIA S",Physician Assistant,AURORA,CO,"$149,019.02"
"RAY, JENNIFER A",Dermatology,AURORA,CO,"$148,922.67"
"STEWART, PATRICIA L",Nurse Practitioner,AURORA,CO,"$147,737.82"
"KOTARU, CHAKRADHAR",Critical Care (Intensivists),AURORA,CO,"$146,834.30"
UNIVERSITY PHYSICIANS INCORPORATED,Clinical Laboratory,AURORA,CO,"$145,366.52"
"LEDER, ROBERT M",Internal Medicine,AURORA,CO,"$145,091.34"
"LOCKWOOD, MICHAEL J",Physician Assistant,AURORA,CO,"$144,914.96"
"CHONCHOL, MICHEL",Nephrology,AURORA,CO,"$141,233.41"
"SOVNDAL, SHANNON S",Emergency Medicine,AURORA,CO,"$140,043.08"
"PALMQUIST, DAVID L",Internal Medicine,AURORA,CO,"$139,773.58"
"FARRELL, CARISSA D",Physician Assistant,AURORA,CO,"$138,604.56"
"ECKHOFF, DONALD",Orthopedic Surgery,AURORA,CO,"$138,028.75"
"KANDUKURI, RAJEEV",Internal Medicine,AURORA,CO,"$136,538.26"
"SIRAJ, SEEMA",Family Practice,AURORA,CO,"$135,974.81"
"FORRESTER, JOSEPH",Critical Care (Intensivists),AURORA,CO,"$135,815.63"
"ANDERSON, DANIELLE",Physician Assistant,AURORA,CO,"$134,489.27"
"HARTSUIKER, GALIN L",Physician Assistant,AURORA,CO,"$133,504.42"
"GRIN, JENNIFER M",Ophthalmology,AURORA,CO,"$132,977.00"
"BRIDGES, JESSYCA",Physician Assistant,AURORA,CO,"$132,551.62"
"VILLAR, ADOLFO M",Nephrology,AURORA,CO,"$131,716.57"
"BURMAN, ROBERT W",Diagnostic Radiology,AURORA,CO,"$130,049.93"
"WIER, CAROL D",Nurse Practitioner,AURORA,CO,"$128,045.53"
"PROCTOR, GREGORY",Nephrology,AURORA,CO,"$126,859.49"
"MCLAUGHLIN, JOHN D",Internal Medicine,AURORA,CO,"$114,382.17"
"NICODEMUS, MALENA M",Physician Assistant,AURORA,CO,"$114,190.87"
"KELLER, MARK W",Cardiology,AURORA,CO,"$113,827.76"
"DELOSREYES, CHERRY M",Geriatric Medicine,AURORA,CO,"$113,450.71"
"PATT, RICHARD A",Family Practice,AURORA,CO,"$113,394.77"
"SULLIVAN, ANDREW K",Pulmonary Disease,AURORA,CO,"$113,217.13"
CHER LLC,Independent Diagnostic Testing Facility,AURORA,CO,"$113,146.69"
"MARTIN, REBEKAH L",Physical Medicine and Rehabilitation,AURORA,CO,"$113,087.39"
"BARQAWI, AL",Neurology,AURORA,CO,"$112,134.78"
"DOWNING, NATALIE J",Physician Assistant,AURORA,CO,"$112,090.44"
"NEUMANN, ROBERT",Neurology,AURORA,CO,"$110,413.42"
"FANOS, NASHAT F",Internal Medicine,AURORA,CO,"$109,693.92"
"SHEYKHET, TATYANA",Physical Therapist,AURORA,CO,"$109,293.28"
"ELLIAS, JEREMIAH F",Emergency Medicine,AURORA,CO,"$108,758.81"
"MADDEN, ERIN A",Family Practice,AURORA,CO,"$107,943.38"
"HARTWICK, CHRISTINE P",Nurse Practitioner,AURORA,CO,"$106,586.23"
"SARKAR, MONALI",Internal Medicine,AURORA,CO,"$106,504.12"
"BENNETT, MARY J",Nurse Practitioner,AURORA,CO,"$105,292.16"
"SUNDLAND, BARRY R",Family Practice,AURORA,CO,"$102,055.21"
"GRUBER, MICHAEL P",Critical Care (Intensivists),AURORA,CO,"$102,021.31"
"HASSELKUS, HERMAN",Internal Medicine,AURORA,CO,"$101,728.44"
"KAVANAGH, BRIAN",Radiation Oncology,AURORA,CO,"$101,513.16"
"LATAL, KRISTINE",Physician Assistant,AURORA,CO,"$100,589.70"
"OLSON, JEFFREY",Ophthalmology,AURORA,CO,"$100,218.63"
"O'NEILL, BRENDAN",Dermatology,AURORA,CO,"$100,218.37"
"NEYMAN, KIMBERLY M",Dermatology,AURORA,CO,"$98,548.89"
"SHUKERT, BENJAMIN",Internal Medicine,AURORA,CO,"$97,583.28"
"SHERMAN, M E",Cardiology,AURORA,CO,"$97,567.98"
"IGEL, MEGAN A",Physician Assistant,AURORA,CO,"$96,611.99"
"DORMISH, JONATHON",Podiatry,AURORA,CO,"$96,420.28"
"KER, NATHAN J",Family Practice,AURORA,CO,"$95,786.04"
"BIODESIX, INC.",Clinical Laboratory,AURORA,CO,"$95,206.03"
"KAN DI KI, LLC",Clinical Laboratory,AURORA,CO,"$95,172.80"
"NGUYEN, DUY",Cardiology,AURORA,CO,"$94,770.58"
"PROHASKA, UTE",Emergency Medicine,AURORA,CO,"$94,138.95"
"SHAH, ALI A",Internal Medicine,AURORA,CO,"$93,825.80"
"CHAN, LAURENCE",Nephrology,AURORA,CO,"$93,765.30"
"SIDDIQUI, NAJMUL H",Family Practice,AURORA,CO,"$93,148.42"
"VARSHNEY, MAMTA",Internal Medicine,AURORA,CO,"$93,107.09"
"TAMURA, WATARU",Gastroenterology,AURORA,CO,"$93,017.90"
"GREGORY, DARREN G",Ophthalmology,AURORA,CO,"$92,884.73"
"PATEL, VIKAS",Orthopedic Surgery,AURORA,CO,"$92,821.86"
"BATUELLO, JOSEPH T",Internal Medicine,AURORA,CO,"$91,685.17"
"CHAPMAN, KARLEE",Nurse Practitioner,AURORA,CO,"$91,499.95"
"SHIP, JORDAN R",Emergency Medicine,AURORA,CO,"$91,497.60"
"KASHIKAR, PADMINI",Internal Medicine,AURORA,CO,"$91,493.41"
"DURAIRAJ, VIKRAM",Ophthalmology,AURORA,CO,"$91,259.55"
"WERNER, PAMELA A",Nurse Practitioner,AURORA,CO,"$90,004.88"
"ERICKSON, CHRISTOPHER J",Internal Medicine,AURORA,CO,"$89,922.81"
"DUNAWAY, FRANK R",Emergency Medicine,AURORA,CO,"$89,663.44"
"BENISH, ELIZABETH A",Internal Medicine,AURORA,CO,"$89,622.72"
"OJEMANN, STEVEN",Neurosurgery,AURORA,CO,"$89,201.12"
"ALEONG, RYAN",Cardiology,AURORA,CO,"$88,992.78"
"COHEN, LAURENCE J",Emergency Medicine,AURORA,CO,"$88,692.56"
"ALSALEEM, AHMAD S",Critical Care (Intensivists),AURORA,CO,"$88,038.80"
"SCHROEDER, DAVID F",Family Practice,AURORA,CO,"$88,018.18"
"ROBERTS, ROXSANN L",Diagnostic Radiology,AURORA,CO,"$87,943.60"
"CUMBLER, ETHAN",Internal Medicine,AURORA,CO,"$87,789.39"
"GEBHART, KARINA D",Physician Assistant,AURORA,CO,"$87,603.25"
"WISEMAN, ALEXANDER",Nephrology,AURORA,CO,"$87,336.20"
"FINN, MICHAEL",Neurosurgery,AURORA,CO,"$87,202.34"
"YOUNG, ROBERT L",Critical Care (Intensivists),AURORA,CO,"$87,074.03"
"BUCANI-GO, MARY ANN",Internal Medicine,AURORA,CO,"$86,579.92"
"CAMPBELL, BRUCE E",Emergency Medicine,AURORA,CO,"$86,510.11"
"CRISMAN, THOMAS S",Cardiology,AURORA,CO,"$86,481.36"
"POPP, TODD",Internal Medicine,AURORA,CO,"$86,326.44"
"VEJAR, MARIA",Nurse Practitioner,AURORA,CO,"$85,707.48"
"ZAEMISCH, REBEKAH L",Internal Medicine,AURORA,CO,"$85,636.13"
"BATRA, DEV",Diagnostic Radiology,AURORA,CO,"$85,334.19"
"WARKENTIN, WILLIAM J",Internal Medicine,AURORA,CO,"$84,840.61"
"DE LA GARZA, NICOLE",Internal Medicine,AURORA,CO,"$84,795.10"
"FRIEDEL, GREGORY S",Diagnostic Radiology,AURORA,CO,"$84,579.75"
"COOPER, JAMES",Nephrology,AURORA,CO,"$84,567.33"
"RANTALA, CORINNE M",Physician Assistant,AURORA,CO,"$83,762.03"
"DAYTON, MICHAEL",Orthopedic Surgery,AURORA,CO,"$83,745.49"
"ATHA, MICHAEL",Internal Medicine,AURORA,CO,"$83,252.99"
"NASSEH, AMANDA",Internal Medicine,AURORA,CO,"$82,652.45"
"AMADOR, LUIS F",Internal Medicine,AURORA,CO,"$82,582.95"
"SCARIANO, LAWRENCE A",Internal Medicine,AURORA,CO,"$82,565.73"
ALPHA SLEEP DIAGNOSTIC CENTERS LLC,Independent Diagnostic Testing Facility,AURORA,CO,"$82,370.61"
AMERICAN MEDICAL RESPONSE OF COLORADO INC,Ambulance Service Supplier,BOULDER,CO,"$1,083,324.46"
"UTLAUT, NILES F",Ophthalmology,BOULDER,CO,"$830,709.24"
"ANTELL, ANDREW G",Radiation Oncology,BOULDER,CO,"$802,622.76"
"HOLLAND, MATTHEW",Cardiology,BOULDER,CO,"$618,819.60"
"FLEAGLE, JOHN T",Medical Oncology,BOULDER,CO,"$429,488.13"
"STEINBAUGH, JOHN R",Dermatology,BOULDER,CO,"$406,143.43"
"ANDORSKY, DAVID J",Hematology/Oncology,BOULDER,CO,"$403,761.63"
"BUSBY, LESLIE T",Medical Oncology,BOULDER,CO,"$352,485.08"
"DOUCET, JAMIE J",Cardiology,BOULDER,CO,"$342,291.09"
"MORAN, PATRICK L",Hematology/Oncology,BOULDER,CO,"$337,879.78"
"KELLER, DONALD J",Ophthalmology,BOULDER,CO,"$279,938.24"
"ALLEN, SHAWN B",Dermatology,BOULDER,CO,"$270,930.75"
ENDOSCOPY CENTER OF THE ROCKIES LLC,Ambulatory Surgical Center,BOULDER,CO,"$261,261.89"
"GIESEN, ANNE",Geriatric Medicine,BOULDER,CO,"$238,711.74"
"WEISMAN, STUART",Rheumatology,BOULDER,CO,"$205,253.77"
"BOULDER COMMUNITY MUSCULOSKELETAL SURGERY CENTER, LLC",Ambulatory Surgical Center,BOULDER,CO,"$200,703.99"
"PATEL, MEERA",Radiation Oncology,BOULDER,CO,"$196,592.56"
"ANDERSON, CHARLES C",Urology,BOULDER,CO,"$192,765.25"
"ROBERTS, WILLIAM A",Ophthalmology,BOULDER,CO,"$190,284.74"
"GRONSETH, CLIFF",Physical Medicine and Rehabilitation,BOULDER,CO,"$187,650.36"
"SITARIK, MARK A",Hematology/Oncology,BOULDER,CO,"$186,999.28"
"TRIPP, WARREN I",Ophthalmology,BOULDER,CO,"$176,843.85"
"LEE, MICHELE Y",Geriatric Medicine,BOULDER,CO,"$166,616.61"
"DUGHI, COCO",Internal Medicine,BOULDER,CO,"$163,094.24"
"JONES, CHARLES G",General Surgery,BOULDER,CO,"$159,689.39"
"CLARK, JAMES E",Urology,BOULDER,CO,"$154,379.00"
"CHAPMAN, JAMES B",Cardiology,BOULDER,CO,"$152,348.22"
"RECTOR, JAMES B",Orthopedic Surgery,BOULDER,CO,"$149,711.52"
"MASON, ALEXANDER M",Neurosurgery,BOULDER,CO,"$149,119.85"
"EDELMAN, JULIE V",Physical Therapist,BOULDER,CO,"$142,937.03"
"BLANCHET, WILLIAM L",Internal Medicine,BOULDER,CO,"$131,834.55"
"WEINER, STEVEN",Urology,BOULDER,CO,"$128,043.66"
"NICHOLS, BRIAN",Ophthalmology,BOULDER,CO,"$125,693.83"
"TOBEY, JOHN",Physical Medicine and Rehabilitation,BOULDER,CO,"$125,391.79"
"KALLGREN, DIANE L",Dermatology,BOULDER,CO,"$124,763.28"
"MEYER, JOHN E",Pathology,BOULDER,CO,"$120,808.83"
"SCHUTZ, JOHN A",Cardiology,BOULDER,CO,"$119,656.54"
"WHITE, DANIEL S",Cardiology,BOULDER,CO,"$117,967.08"
"WARE, MOLLY G",Cardiology,BOULDER,CO,"$116,901.05"
"LUTT, JOSEPH R",Rheumatology,BOULDER,CO,"$116,775.19"
"WARREN, JAMES D",Otolaryngology,BOULDER,CO,"$114,133.32"
"BJERKE, RANDAL D",Pulmonary Disease,BOULDER,CO,"$113,053.73"
"DOUGHERTY, MARILYN A",Ophthalmology,BOULDER,CO,"$111,902.69"
"REYNOLDS, BRYAN J",Cardiology,BOULDER,CO,"$110,537.84"
"TRUJILLO, NELSON P",Cardiology,BOULDER,CO,"$110,343.54"
"RIPOLL, EMILIA",Urology,BOULDER,CO,"$109,366.48"
"BOULDER MEDICAL CENTER, PC",Ambulatory Surgical Center,BOULDER,CO,"$107,866.53"
"KREIDL, KEN",Ophthalmology,BOULDER,CO,"$106,922.71"
"ECKSTEIN, LARRY",General Practice,BOULDER,CO,"$106,496.26"
"RUSSELL, GEORGE R",Dermatology,BOULDER,CO,"$104,967.21"
"NELSON, EWELL L",Neurology,BOULDER,CO,"$104,930.43"
"MCNEIL, JOHN R",Cardiology,BOULDER,CO,"$104,886.37"
"HANLEY, KEVIN W",Pathology,BOULDER,CO,"$104,782.85"
"ROGERS, CHARLES P",Cardiology,BOULDER,CO,"$103,456.75"
"CAMBE, PHIL C",Physical Medicine and Rehabilitation,BOULDER,CO,"$102,986.74"
"SMITH, HUNTER R",Pulmonary Disease,BOULDER,CO,"$102,950.68"
"MELOUK, SAMEH H",Urology,BOULDER,CO,"$102,489.72"
"VILLAVICENCIO, ALAN T",Neurology,BOULDER,CO,"$101,650.14"
"OZA, SAMEER A",Cardiology,BOULDER,CO,"$97,364.24"
